Dress_ID	Style	Price	Rating	Size	Season	NeckLine	SleeveLength	waiseline	Material	FabricType	Decoration	Pattern Type	Recommendation
1006032852	Sexy	Low	4.6	M	Summer	o-neck	sleevless	empire	NaN	chiffon	ruffles	animal	1
1212192089	Casual	Low	0.0	L	Summer	o-neck	Petal	natural	microfiber	NaN	ruffles	animal	0
1190380701	vintage	High	0.0	L	Automn	o-neck	full	natural	polyster	NaN	NaN	print	0
966005983	Brief	Average	4.6	L	Spring	o-neck	full	natural	silk	chiffon	embroidary	print	1
876339541	cute	Low	4.5	M	Summer	o-neck	butterfly	natural	chiffonfabric	chiffon	bow	dot	0
1068332458	bohemian	Low	0.0	M	Summer	v-neck	sleevless	empire	NaN	NaN	NaN	print	0
1220707172	Casual	Average	0.0	XL	Summer	o-neck	full	NaN	cotton	NaN	NaN	solid	0
1219677488	Novelty	Average	0.0	free	Automn	o-neck	short	natural	polyster	broadcloth	lace	NaN	0
1113094204	Flare	Average	0.0	free	Spring	v-neck	short	empire	cotton	broadcloth	beading	solid	1
985292672	bohemian	Low	0.0	free	Summer	v-neck	sleevless	natural	nylon	chiffon	NaN	NaN	1
1117293701	party	Average	5.0	free	Summer	o-neck	full	natural	polyster	broadcloth	lace	solid	0
898481530	Flare	Average	0.0	free	Spring	v-neck	short	NaN	nylon	NaN	NaN	animal	0
957723897	sexy	Low	4.7	M	Winter	o-neck	threequarter	NaN	NaN	chiffon	lace	print	1
749031896	vintage	Average	4.8	M	Summer	o-neck	short	empire	cotton	jersey	NaN	animal	1
1055411544	Casual	Low	5.0	M	Summer	boat-neck	short	NaN	cotton	NaN	sashes	solid	0
1162628131	Casual	Low	0.0	free	Winter	boat-neck	full	NaN	other	other	lace	NaN	0
624314841	cute	Average	4.7	L	spring	o-neck	short	NaN	cotton	NaN	sashes	solid	1
830467746	bohemian	Medium	5.0	free	Automn	o-neck	full	natural	NaN	NaN	hollowout	patchwork	1
840857118	Brief	Average	0.0	M	Winter	peterpan-collor	threequarter	natural	cotton	NaN	NaN	patchwork	0
1113221101	Sexy	Average	5.0	M	Automn	o-neck	sleevless	empire	milksilk	NaN	NaN	NaN	1
861754372	Sexy	Average	4.5	L	Automn	o-neck	full	NaN	cotton	NaN	beading	solid	0
856178100	Casual	Low	4.3	M	Summer	o-neck	sleevless	natural	NaN	chiffon	NaN	solid	0
1122989777	Brief	Low	4.0	XL	Summer	v-neck	short	natural	cotton	NaN	pockets	solid	0
840516484	Sexy	Average	4.7	S	Summer	v-neck	sleevless	empire	cotton	NaN	sequined	solid	1
768517084	Sexy	Average	0.0	free	Automn	v-neck	sleevless	natural	polyster	NaN	lace	patchwork	0
1139843344	Sexy	Average	0.0	M	Automn	o-neck	sleevless	empire	cotton	broadcloth	NaN	print	0
1004212992	Sexy	Average	4.7	M	Spring	o-neck	sleevless	natural	NaN	NaN	NaN	solid	1
1235426503	Casual	Low	0.0	L	Summer	o-neck	sleevless	natural	cotton	jersey	NaN	print	0
942808364	cute	Low	4.3	free	Automn	o-neck	sleevless	natural	polyster	chiffon	sashes	striped	0
629131530	cute	Low	4.7	M	Spring	ruffled	short	empire	chiffonfabric	chiffon	bow	dot	1
851945460	Casual	Average	4.6	L	Automn	o-neck	sleevless	empire	polyster	chiffon	ruffles	solid	0
1150275464	Casual	Low	0.0	M	Spring	o-neck	sleevless	natural	silk	chiffon	applique	solid	1
1026634314	Casual	Average	4.4	L	Automn	o-neck	sleevless	natural	linen	chiffon	ruffles	animal	0
978773911	Brief	Average	4.3	L	Spring	o-neck	sleevless	empire	NaN	NaN	bow	solid	1
827791337	party	High	4.7	M	Spring	o-neck	threequarter	NaN	NaN	NaN	NaN	print	0
640823350	Casual	Low	4.6	free	Winter	boat-neck	full	natural	cotton	NaN	NaN	patchwork	1
801861988	vintage	Average	4.6	free	Winter	o-neck	full	natural	NaN	chiffon	NaN	print	1
1060207186	Brief	Average	0.0	M	Automn	o-neck	short	natural	cotton	NaN	NaN	print	0
1054679816	party	Average	4.6	M	Winter	o-neck	sleevless	natural	cotton	NaN	lace	solid	1
941190190	Casual	Average	4.5	M	Spring	v-neck	short	empire	cotton	NaN	button	solid	1
943844640	Brief	Average	5.0	free	Spring	v-neck	sleevless	natural	cotton	broadcloth	lace	solid	1
661795386	Brief	Low	4.4	L	Automn	o-neck	halfsleeve	natural	rayon	chiffon	sashes	solid	0
875312593	Casual	Average	4.8	M	Winter	o-neck	short	natural	lycra	broadcloth	applique	patchwork	0
971387676	Casual	Low	4.8	free	Spring	o-neck	sleevless	natural	cotton	NaN	NaN	print	0
1021185637	vintage	Average	4.8	M	Winter	o-neck	sleevless	natural	cotton	NaN	NaN	patchwork	1
1163826114	Sexy	Average	0.0	M	Winter	o-neck	short	natural	NaN	NaN	lace	solid	0
735635595	Sexy	Average	4.8	L	Spring	v-neck	threequarter	empire	polyster	NaN	lace	geometric	0
1175184188	Casual	Average	0.0	M	Summer	o-neck	halfsleeve	natural	cotton	chiffon	ruffles	dot	1
679415939	Casual	Low	4.7	M	Summer	o-neck	sleevless	empire	milksilk	NaN	NaN	solid	0
884147971	Casual	Medium	0.0	L	Winter	boat-neck	full	empire	NaN	NaN	NaN	solid	1
841203385	Sexy	Low	5.0	free	Summer	v-neck	sleevless	empire	NaN	chiffon	NaN	animal	1
1117997056	Casual	Low	4.3	free	Summer	o-neck	sleevless	NaN	milksilk	NaN	NaN	animal	0
1160536550	Casual	Average	0.0	L	Spring	o-neck	halfsleeve	natural	polyster	chiffon	hollowout	solid	1
