Style,Price,Rating,Size,Season,NeckLine,SleeveLength,WaistLine,Material,FabricType,Decoration,PatternType,Recommendation
sexy,low,4.6,M,summer,o-neck,sleeveless,empire,unknown,chiffon,ruffles,animal,1
casual,low,0.0,L,summer,o-neck,Petal,natural,microfiber,unknown,ruffles,animal,0
vintage,high,0.0,L,automn,o-neck,full,natural,polyster,unknown,unknown,print,0
brief,average,4.6,L,spring,o-neck,full,natural,silk,chiffon,embroidary,print,1
cute,low,4.5,M,summer,o-neck,butterfly,natural,chiffonfabric,chiffon,bow,dot,0
bohemian,low,0.0,M,summer,v-neck,sleeveless,empire,unknown,unknown,unknown,print,0
casual,average,0.0,XL,summer,o-neck,full,unknown,cotton,unknown,unknown,solid,0
novelty,average,0.0,free,automn,o-neck,short,natural,polyster,broadcloth,lace,unknown,0
flare,average,0.0,free,spring,v-neck,short,empire,cotton,broadcloth,beading,solid,1
bohemian,low,0.0,free,summer,v-neck,sleeveless,natural,nylon,chiffon,unknown,unknown,1
party,average,5.0,free,summer,o-neck,full,natural,polyster,broadcloth,lace,solid,0
flare,average,0.0,free,spring,v-neck,short,unknown,nylon,unknown,unknown,animal,0
sexy,low,4.7,M,winter,o-neck,threequarter,unknown,unknown,chiffon,lace,print,1
vintage,average,4.8,M,summer,o-neck,short,empire,cotton,jersey,unknown,animal,1
casual,low,5.0,M,summer,boat-neck,short,unknown,cotton,unknown,sashes,solid,0
casual,low,0.0,free,winter,boat-neck,full,unknown,other,other,lace,unknown,0
cute,average,4.7,L,spring,o-neck,short,unknown,cotton,unknown,sashes,solid,1
bohemian,medium,5.0,free,automn,o-neck,full,natural,unknown,unknown,hollowout,patchwork,1
brief,average,0.0,M,winter,peterpan-collor,threequarter,natural,cotton,unknown,unknown,patchwork,0
sexy,average,5.0,M,automn,o-neck,sleeveless,empire,silk,unknown,unknown,unknown,1
sexy,average,4.5,L,automn,o-neck,full,unknown,cotton,unknown,beading,solid,0
casual,low,4.3,M,summer,o-neck,sleeveless,natural,unknown,chiffon,unknown,solid,0
brief,low,4.0,XL,summer,v-neck,short,natural,cotton,unknown,pockets,solid,0
sexy,average,4.7,S,summer,v-neck,sleeveless,empire,cotton,unknown,sequined,solid,1
sexy,average,0.0,free,automn,v-neck,sleeveless,natural,polyster,unknown,lace,patchwork,0
sexy,average,0.0,M,automn,o-neck,sleeveless,empire,cotton,broadcloth,unknown,print,0
sexy,average,4.7,M,spring,o-neck,sleeveless,natural,unknown,unknown,unknown,solid,1
casual,low,0.0,L,summer,o-neck,sleeveless,natural,cotton,jersey,unknown,print,0
cute,low,4.3,free,automn,o-neck,sleeveless,natural,polyster,chiffon,sashes,striped,0
cute,low,4.7,M,spring,ruffled,short,empire,chiffonfabric,chiffon,bow,dot,1
